epoch,prev_height,height,balance_before_gnk,balance_after_gnk,delta_gnk
265,4090471,4090472,677479658.090649,677479658.090758,0.000109
265,4091467,4091468,677479658.090758,677479658.090946,0.000188
265,4095962,4095963,677479658.090946,677479658.145128,0.054182
265,4096063,4096064,677479658.145128,677479658.145237,0.000109
265,4099159,4099160,677479658.145237,677479658.148624,0.003387
265,4099260,4099261,677479658.148624,677479658.148733,0.000109
265,4103010,4103011,677479658.148733,677479658.148786,0.000053
265,4103170,4103171,677479658.148786,677479658.180385,0.031599
265,4103271,4103272,677479658.180385,677479658.180514,0.000129
265,4105640,4105641,677479658.180514,776847118.175035,99367459.994521
266,4105862,4105863,776847118.175035,776847118.175137,0.000102
266,4108428,4108429,776847118.175137,776847118.175204,0.000067
266,4113456,4113457,776847118.175204,776847068.175204,-50.000000
266,4115374,4115375,776847068.175204,776847068.178379,0.003175
266,4115475,4115476,776847068.178379,776847068.178481,0.000102
266,4117264,4117265,776847068.178481,776847068.178533,0.000052
266,4117365,4117366,776847068.178533,776847068.178635,0.000102
266,4121031,4121032,776847068.178635,803274764.755678,26427696.577043
